0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00016084,0.00084181,0.00091701,0.00085435,0.00013995,0.00076244,0.0014288,0.00090657,0.0022267,0.00083555,0.00087315,0,0.0012178,0.0019844,0.00086897,8.3555e-06,0.00063501,0,0,0,0,0
0.0085267,0.0096862,0.0096067,0.0057506,0.0036179,0.0097174,0.01134,0.011361,0.0080985,0.0024878,0.0046979,0.011597,0.0069413,0.010231,0.01292,0.011547,0.021396,0.011305,0.015472,0.0010256,0.018827,0.017868,0.010536,0.00060159,0.018501,0.020011,0.015468,0.0097801,0.0080714,0.0095545
0.019922,0.02127,0.020335,0.015339,0.0094751,0.021049,0.023044,0.023124,0.0206,0.0057862,0.010139,0.023514,0.020949,0.022154,0.02435,0.023161,0.033581,0.025139,0.035807,0.0012074,0.033672,0.023003,0.021083,0.0027489,0.034193,0.033769,0.023216,0.019518,0.019126,0.021198
0.03538,0.038176,0.035611,0.026418,0.017569,0.037029,0.037059,0.035638,0.035051,0.012792,0.019098,0.040069,0.037712,0.039041,0.040039,0.039678,0.044044,0.043394,0.0565,0.0019447,0.050557,0.030748,0.034828,0.0042989,0.051112,0.046707,0.025927,0.033938,0.032954,0.037612
0.05628,0.060162,0.055898,0.040326,0.027661,0.060663,0.055631,0.047056,0.055764,0.020602,0.029741,0.062864,0.05496,0.060688,0.060364,0.061235,0.056656,0.063932,0.071166,0.0037767,0.070587,0.059345,0.051785,0.0041151,0.069486,0.060884,0.025346,0.053406,0.053254,0.05829
0.088143,0.088749,0.082395,0.059696,0.037278,0.088081,0.073091,0.063566,0.079229,0.031201,0.042623,0.089537,0.075068,0.088367,0.087078,0.086458,0.065897,0.086128,0.085044,0.006064,0.096717,0.090588,0.072339,0.0071356,0.088219,0.074316,0.02783,0.0778,0.073852,0.079989
0.12349,0.12657,0.11637,0.076935,0.047457,0.1146,0.092616,0.079402,0.10536,0.040917,0.062401,0.12433,0.095035,0.12205,0.11839,0.11907,0.088973,0.11152,0.11265,0.010889,0.13644,0.12408,0.10407,0.014167,0.12149,0.10961,0.05026,0.11038,0.10456,0.10846
0.16044,0.17088,0.15541,0.085798,0.063422,0.16064,0.11259,0.093594,0.13557,0.052652,0.086095,0.1642,0.12633,0.16352,0.15506,0.15403,0.11218,0.14102,0.12715,0.018729,0.18352,0.14337,0.13832,0.025106,0.16495,0.16884,0.08327,0.14818,0.13485,0.14158
0.20821,0.21797,0.2005,0.094085,0.08298,0.2079,0.12365,0.11341,0.16805,0.073154,0.11566,0.20868,0.15409,0.20982,0.20156,0.19748,0.14623,0.17511,0.15421,0.030896,0.23329,0.1928,0.17915,0.038375,0.19995,0.19767,0.057496,0.19179,0.1723,0.18213
